index,id,crawl_id,visit_id,change,creationTime,expiry,is_http_only,is_session,last_accessed,raw_host,expires,host,is_domain,is_secure,name,path,policy,status,value
0,1,1,1,added,2020-11-29 09:48:09,2020-11-29 09:58:08,0,0,2020-11-29 09:48:09,www.accuweather.com,1606661888,www.accuweather.com,0,0,awx_session_essential,/,0,0,%7B%22partner%22%3Anull%2C%22featuredIndex%22%3A%7B%22lifestyle%22%3A%22allergies%22%2C%22localizedLifestyle%22%3A%22Allergies%22%2C%22category%22%3A%22Low%22%2C%22categoryColor%22%3Anull%2C%22isStatusRed%22%3Afalse%7D%7D
1,2,1,1,added,2020-11-29 09:48:09,2020-11-29 10:48:08,1,0,2020-11-29 09:48:09,accuweather.com,1606664888,.accuweather.com,1,1,AKA_A2,/,0,0,A
2,3,1,1,added,2020-11-29 09:48:09,2020-11-29 11:48:09,1,0,2020-11-29 09:48:09,accuweather.com,1606668489,.accuweather.com,1,0,ak_bmsc,/,0,0,B58B63D02126558C64F14B004BCADC0AB81B7836AA1E0000A8B4C35FAA10AA0C~plJ+JOkJSiwqMf630BlA+Cm/ULyOAoa/EYzVAlLt5NSOmRsOBL3JVu39eggtViG+fQuKG1Zn2d0SnRBdPL9JC0dLWqe4smWbSZISVLqZJ//83Z+0/C0mF7ZNOtUvq6piAfzoNxVjS+VLMGpTBtd/VaAWCVXl+IU9GYSzrrlmoNPBJ8c6HLbbAyB6oll7W3Ht9nF6/DOiee5rmzXZdmJn835scCR0rvTlIxqvuEmXiYlLM=
3,4,1,1,added,2020-11-29 09:48:09,2021-11-29 09:48:09,0,0,2020-11-29 09:48:09,www.accuweather.com,1638197289,www.accuweather.com,0,0,_pubcid,/,0,0,abe87ad4-0459-4509-9666-50ad36061b3e
4,5,1,1,changed,2020-11-29 09:48:09,2020-11-29 11:48:08,1,0,2020-11-29 09:48:09,accuweather.com,1606668488,.accuweather.com,1,0,ak_bmsc,/,0,0,B58B63D02126558C64F14B004BCADC0AB81B7836AA1E0000A8B4C35FAA10AA0C~pl8Pp6wUXa3PZmJJyJr9IitP7T35hk/5/0F42Rrp/Ad/SLr5iH6yB0Xrp/+mBE9rNVHDjYtCxINH3TCWy14Y8meEdif/KE9mhmcjTDd/KbleQO+wHPvzP1qMJTGorYrGPz5Ptw3CZ3d9TRdNlJL/RDfmhc/4rsomUDPrtqYHRBfmvCKFULlIFDL+lzwQs9DXDN8RBZB6nqW9m+OVo4l2cQYrLOiBRnLF/WgjIVFb7Vbtg3UUzeRZyNw/DOWf6YwGlQaOkXKpahFpgnIN26jpy88twNFU/Iv9xdjUsq8Yz25NtwJU5umsoPl73W0yt2FRYklavBE89EMo5E/tIgkMoKmg==
5,6,1,1,added,2020-11-29 09:48:09,2021-11-29 09:48:09,0,0,2020-11-29 09:48:09,www.accuweather.com,1638197289,www.accuweather.com,0,0,awx_user,/,0,0,{%22rl%22:[%22328802%22]%2C%22tp%22:%22F%22%2C%22lang%22:%22en-us%22%2C%22isDarkMapStyle%22:false%2C%22lifestyle%22:%22allergies%22%2C%22cache%22:{%22lang%22:%22en-us%22%2C%22tp%22:%22F%22%2C%22items%22:{%22328802%22:{%22we%22:1606661288500%2C%22tei%22:[]%2C%22wca%22:false%2C%22ix%22:1606661289850%2C%22loc%22:1606661289000%2C%22cond%22:1606661289850}}}%2C%22cDate%22:%222020-11-29%22}
6,7,1,1,added,2020-11-29 09:48:09,2021-11-29 09:48:09,0,0,2020-11-29 09:48:09,www.accuweather.com,1638197289,www.accuweather.com,0,0,us_privacy,/,0,0,1YNN
7,8,1,1,added,2020-11-29 09:48:09,2020-11-29 10:03:09,0,0,2020-11-29 09:48:09,doubleclick.net,1606662189,.doubleclick.net,1,1,test_cookie,/,0,0,CheckForPermission
8,9,1,1,added,2020-11-29 09:48:10,2022-11-29 09:48:10,0,0,2020-11-29 09:48:10,accuweather.com,1669733290,.accuweather.com,1,0,_ga,/,0,0,GA1.2.1032813480.1606661290
9,10,1,1,added,2020-11-29 09:48:10,2020-11-30 09:48:10,0,0,2020-11-29 09:48:10,accuweather.com,1606747690,.accuweather.com,1,0,_gid,/,0,0,GA1.2.1240132777.1606661290
