index,id,crawl_id,visit_id,old_channel_id,new_channel_id,is_temporary,is_permanent,is_internal,is_sts_upgrade,time_stamp
0,1,1,1,{21117d23-791e-44e0-bffc-aae9e1100961},{a5d46108-da86-4052-a774-5854290d8827},1,0,0,0,2020-11-29T14:21:23.398Z
1,2,1,1,{95a304d4-cdbc-414b-adef-dce5f716b829},{6cd78908-4282-4c5c-815a-e9bee0da9686},1,0,0,0,2020-11-29T14:21:23.398Z
2,3,1,1,{868c5b09-19cf-45b1-a62e-f3c294a00b7d},{0b171582-c9ac-4e5f-a74d-22229e8579bf},1,0,0,0,2020-11-29T14:21:23.402Z
3,4,1,1,{c0332e93-bc4d-4a1b-b2ae-a5f7b87d774b},{ee2fd36e-ea74-4710-a912-9bd0d93e585a},1,0,0,0,2020-11-29T14:21:25.862Z
4,5,1,1,{2fcc8cf6-8692-49f3-a458-41f97cc1e9ef},{3de0a189-d3c3-43f4-a40b-d76bbd62cf58},1,0,0,0,2020-11-29T14:21:27.212Z
5,6,1,1,{b9d682e0-32b3-4864-8451-e77c8cecf849},{3b583ccf-1f6d-429f-a088-3d4658967d79},1,0,0,0,2020-11-29T14:21:27.522Z
6,7,1,1,{5d62e3d4-570f-40ad-9116-2bd852eb1a27},{cf46e14c-a9a2-4b49-8d9c-92a3eb8e1394},1,0,0,0,2020-11-29T14:21:27.698Z
7,8,1,1,{463a8301-059b-4cd0-8690-bab98193195c},{7db9c6f2-c9e2-42b0-a557-1b41ccf47efd},1,0,0,0,2020-11-29T14:21:27.702Z
8,9,1,1,{c6e14fa1-4e31-4db2-83fb-9528a1d2d331},{2232041b-9597-44f9-b182-e7f2e477ffdd},1,0,0,0,2020-11-29T14:21:27.702Z
9,10,1,1,{394ebb86-4c24-469e-aae3-4a6eab4cad44},{71755bb8-fcb3-481f-ae8f-e8583409bc39},1,0,0,0,2020-11-29T14:21:27.770Z
10,11,1,1,{7739c28d-f5d3-4b6b-bcb5-1d32a8bb1653},{8017adf5-02ea-4708-bd3e-e9e41c7da6f4},1,0,0,0,2020-11-29T14:21:27.776Z
11,12,1,1,{2427d91c-76e7-4813-a43e-5de40df2a66a},{80742c80-d363-445f-af79-c125024bc643},1,0,0,0,2020-11-29T14:21:27.796Z
12,13,1,1,{66666644-f1ae-463a-a5fe-8922370904f4},{8d20eb56-6c9a-4c8d-aff3-3d5c1b576b18},1,0,0,0,2020-11-29T14:21:27.802Z
13,14,1,1,{8d20eb56-6c9a-4c8d-aff3-3d5c1b576b18},{96d7d7b4-1e6e-43ce-bd3d-d49b1ef90831},1,0,0,0,2020-11-29T14:21:27.894Z
14,15,1,1,{8d20eb56-6c9a-4c8d-aff3-3d5c1b576b18},{96d7d7b4-1e6e-43ce-bd3d-d49b1ef90831},1,0,0,0,2020-11-29T14:21:27.894Z
15,16,1,1,{96d7d7b4-1e6e-43ce-bd3d-d49b1ef90831},{66c83793-d0c9-4d88-8cfc-e851940df974},1,0,0,0,2020-11-29T14:21:27.934Z
16,17,1,1,{96d7d7b4-1e6e-43ce-bd3d-d49b1ef90831},{66c83793-d0c9-4d88-8cfc-e851940df974},1,0,0,0,2020-11-29T14:21:27.934Z
17,18,1,1,{96d7d7b4-1e6e-43ce-bd3d-d49b1ef90831},{66c83793-d0c9-4d88-8cfc-e851940df974},1,0,0,0,2020-11-29T14:21:27.934Z
18,19,1,1,{ed437a18-0d0d-45a1-8622-2bda82e95391},{557baad8-a08f-444e-a282-a2dce0d90ada},1,0,0,0,2020-11-29T14:21:47.066Z
19,20,1,1,{099bce60-1789-437f-bd46-a95605ab04c8},{65ac8626-e2be-4fc6-94d4-f2936946f8f8},1,0,0,0,2020-11-29T14:21:47.066Z
20,21,1,1,{a5c715d9-b1af-44f1-a8b3-cae094a61bb7},{35800a87-ad49-4b7f-9c57-47b4b7d40efb},1,0,0,0,2020-11-29T14:21:47.240Z
21,22,1,1,{92033a86-9be5-432f-970f-9c63f990f75a},{710ad466-70d2-4afd-9808-47fd5b43ea0f},1,0,0,0,2020-11-29T14:21:47.288Z
22,23,1,1,{710ad466-70d2-4afd-9808-47fd5b43ea0f},{bbd81105-8db3-4a23-9853-f5ba3d566a04},1,0,0,0,2020-11-29T14:21:47.338Z
23,24,1,1,{710ad466-70d2-4afd-9808-47fd5b43ea0f},{bbd81105-8db3-4a23-9853-f5ba3d566a04},1,0,0,0,2020-11-29T14:21:47.340Z
24,25,1,1,{70bf8dc3-37f9-40f8-baf3-56ebd463357e},{998be8cd-f970-4ded-800a-dd65ba9d7181},1,0,0,0,2020-11-29T14:21:47.808Z
25,26,1,1,{4fc54718-db1b-4746-9613-07baa13c1589},{72c3debd-d1d6-4ae5-b5da-227c065473a9},1,0,0,0,2020-11-29T14:21:47.962Z
26,27,1,1,{af248e67-c2a3-4909-a4a0-fa2b46fae2e4},{e66f4c04-34a5-4d87-96c8-da601c974fb5},1,0,0,0,2020-11-29T14:21:47.962Z
27,28,1,1,{b319d0b8-6509-47a3-94a3-0c28b90716b6},{4e38a8be-29ed-47b3-8c5f-c9ba060fc0ee},1,0,0,0,2020-11-29T14:21:47.962Z
28,29,1,1,{077eed23-bc6a-4b97-88e9-3ec47fb91415},{87cb53b4-091a-405d-8403-0918619acc9a},1,0,0,0,2020-11-29T14:21:47.972Z
29,30,1,1,{a1d06c4e-7de6-41a9-8d96-2a0b5e93b7b7},{d985a80f-e7e1-4b91-978b-62c653e30f23},1,0,0,0,2020-11-29T14:21:48.064Z
30,31,1,1,{88c4137b-fc66-436e-9d07-17e4431ef7f7},{66d3b768-ada9-4eef-9403-50be14bb94ba},1,0,0,0,2020-11-29T14:21:48.182Z
31,32,1,1,{a8faecaa-43c9-46da-a498-2a3bb2a6a994},{e612a4f7-0008-4d36-ad02-95945069c146},1,0,0,0,2020-11-29T14:21:48.248Z
32,33,1,1,{d985a80f-e7e1-4b91-978b-62c653e30f23},{58c042fd-4c30-4295-94ec-fa04e303d5aa},1,0,0,0,2020-11-29T14:21:48.250Z
33,34,1,1,{d985a80f-e7e1-4b91-978b-62c653e30f23},{58c042fd-4c30-4295-94ec-fa04e303d5aa},1,0,0,0,2020-11-29T14:21:48.250Z
34,35,1,1,{ffe1d473-1cdd-408e-b1c4-6d1036db40f3},{0fc39799-ab7b-4839-93c0-c1342983f9f7},1,0,0,0,2020-11-29T14:21:48.250Z
