index,id,crawl_id,visit_id,change,creationTime,expiry,is_http_only,is_session,last_accessed,raw_host,expires,host,is_domain,is_secure,name,path,policy,status,value
98,99,1,1,changed,2020-11-29 09:21:25,2021-11-29 09:21:47,0,0,2020-11-29 09:21:47,adsrvr.org,1638195707,.adsrvr.org,1,1,TDCPM,/,0,0,CAESFQoGY2FzYWxlEgsI_Jqk5YKfijkQBRIWCgdzdng5dDUwEgsIkN7d-IKfijkQBRIXCghwdWJtYXRpYxILCPSQwLmEn4o5EAUYASABKAIyCwj0iMPmmp-KORAFOAFaCHB1Ym1hdGljYAI.
99,100,1,1,added,2020-11-29 09:21:47,2021-05-28 10:21:47,0,0,2020-11-29 09:21:47,jpmcbankna.demdex.net,1622211707,.jpmcbankna.demdex.net,1,1,jpmcbankna,/,0,0,18745929759017063124342059746883030362
100,101,1,1,added,2020-11-29 09:21:48,2021-11-29 09:21:48,0,0,2020-11-29 09:21:48,everesttech.net,1638195708,.everesttech.net,1,0,everest_g_v2,/,0,0,g_surferid~X8OufAAAAE3hHizr
101,102,1,1,added,2020-11-29 09:21:48,2021-11-30 09:21:48,0,0,2020-11-29 09:21:48,analytics.yahoo.com,1638282108,.analytics.yahoo.com,1,1,IDSYNC,/,0,0,18z8~1v1q
102,103,1,1,changed,2020-11-29 09:21:23,2021-11-29 15:21:48,1,0,2020-11-29 09:21:48,yahoo.com,1638217308,.yahoo.com,1,1,A3,/,0,0,d=AQABBGOuw18CEDrvY-j4OTZdJgF41Zl6jpIFEgEBAQH_xF_NXwAAAAAA_SMAAAcIY67DX5l6jpI&S=AQAAAoP_8dRB5cAiNP3rw8D94eg
103,104,1,1,changed,2020-11-29 09:21:23,2021-11-29 15:21:48,0,0,2020-11-29 09:21:48,yahoo.com,1638217308,.yahoo.com,1,0,B,/,0,0,953jqj5fs7bj3&b=3&s=pd
104,105,1,1,added,2020-11-29 09:21:48,2021-11-30 09:21:48,0,0,2020-11-29 09:21:48,simpli.fi,1638282108,.simpli.fi,1,1,suid,/,0,0,DF36144CFB3246508FAA545DADA1AFC6
105,106,1,1,added,2020-11-29 09:21:48,2021-11-30 09:21:48,0,0,2020-11-29 09:21:48,simpli.fi,1638282108,.simpli.fi,1,1,suid_legacy,/,0,0,DF36144CFB3246508FAA545DADA1AFC6
106,107,1,1,added,2020-11-29 09:21:48,2021-05-28 10:21:48,0,0,2020-11-29 09:21:48,turn.com,1622211708,.turn.com,1,1,uid,/,0,0,3156657841353619317
107,108,1,1,added,2020-11-29 09:21:48,2020-12-29 09:21:47,0,0,2020-11-29 09:21:48,pubmatic.com,1609251707,.pubmatic.com,1,1,KRTBCOOKIE_27,/,0,0,16735-uid:0eb55fc3-ae67-4300-bd7a-c00c28e6484c&KRTB&16736-uid:0eb55fc3-ae67-4300-bd7a-c00c28e6484c&KRTB&23019-uid:0eb55fc3-ae67-4300-bd7a-c00c28e6484c&KRTB&23114-uid:0eb55fc3-ae67-4300-bd7a-c00c28e6484c
108,109,1,1,added,2020-11-29 09:21:48,2020-12-29 09:21:47,0,0,2020-11-29 09:21:48,pubmatic.com,1609251707,.pubmatic.com,1,1,PugT,/,0,0,1606659707
109,110,1,1,added,2020-11-29 09:21:48,2021-02-27 09:21:47,0,0,2020-11-29 09:21:48,pubmatic.com,1614435707,.pubmatic.com,1,1,PUBMDCID,/,0,0,2
110,111,1,1,added,2020-11-29 09:21:48,2021-02-27 09:21:48,0,0,2020-11-29 09:21:48,pubmatic.com,1614435708,.pubmatic.com,1,1,KRTBCOOKIE_80,/,0,0,16514-CAESEDQd9ok4-ocLX13w_-hQ_nQ&KRTB&22987-CAESEDQd9ok4-ocLX13w_-hQ_nQ&KRTB&23025-CAESEDQd9ok4-ocLX13w_-hQ_nQ
111,112,1,1,changed,2020-11-29 09:21:48,2020-12-29 09:21:48,0,0,2020-11-29 09:21:48,pubmatic.com,1609251708,.pubmatic.com,1,1,PugT,/,0,0,1606659708
112,113,1,1,changed,2020-11-29 09:21:48,2021-02-27 09:21:48,0,0,2020-11-29 09:21:48,pubmatic.com,1614435708,.pubmatic.com,1,1,PUBMDCID,/,0,0,2
113,114,1,1,added,2020-11-29 09:21:48,2021-02-27 09:21:46,0,0,2020-11-29 09:21:48,pubmatic.com,1614435706,.pubmatic.com,1,1,KRTBCOOKIE_218,/,0,0,22978-X8OufAAAAE3hHizr&KRTB&23194-X8OufAAAAE3hHizr&KRTB&23209-X8OufAAAAE3hHizr&KRTB&23244-X8OufAAAAE3hHizr
114,115,1,1,changed,2020-11-29 09:21:48,2020-12-29 09:21:46,0,0,2020-11-29 09:21:48,pubmatic.com,1609251706,.pubmatic.com,1,1,PugT,/,0,0,1606659706
115,116,1,1,changed,2020-11-29 09:21:48,2021-02-27 09:21:46,0,0,2020-11-29 09:21:48,pubmatic.com,1614435706,.pubmatic.com,1,1,PUBMDCID,/,0,0,2
116,117,1,1,added,2020-11-29 09:21:48,2020-12-29 09:21:47,0,0,2020-11-29 09:21:48,pubmatic.com,1609251707,.pubmatic.com,1,1,KRTBCOOKIE_148,/,0,0,19421-uid:DF36144CFB3246508FAA545DADA1AFC6
117,118,1,1,changed,2020-11-29 09:21:48,2020-12-29 09:21:47,0,0,2020-11-29 09:21:48,pubmatic.com,1609251707,.pubmatic.com,1,1,PugT,/,0,0,1606659707
118,119,1,1,changed,2020-11-29 09:21:48,2021-02-27 09:21:47,0,0,2020-11-29 09:21:48,pubmatic.com,1614435707,.pubmatic.com,1,1,PUBMDCID,/,0,0,2
119,120,1,1,added,2020-11-29 09:21:48,2020-12-29 09:21:47,0,0,2020-11-29 09:21:48,pubmatic.com,1609251707,.pubmatic.com,1,1,KRTBCOOKIE_22,/,0,0,14911-3156657841353619317
120,121,1,1,added,2020-11-29 09:21:48,2020-12-29 09:21:48,0,0,2020-11-29 09:21:48,pubmatic.com,1609251708,.pubmatic.com,1,1,SPugT,/,0,0,1606659708
121,122,1,1,added,2020-11-29 09:21:49,2021-02-27 09:21:48,0,0,2020-11-29 09:21:49,pubmatic.com,1614435708,.pubmatic.com,1,1,KRTBCOOKIE_377,/,0,0,22918-6bc718b2-b8b2-4cbf-b810-042742d47c65&KRTB&23031-6bc718b2-b8b2-4cbf-b810-042742d47c65
122,123,1,1,changed,2020-11-29 09:21:48,2020-12-29 09:21:48,0,0,2020-11-29 09:21:49,pubmatic.com,1609251708,.pubmatic.com,1,1,PugT,/,0,0,1606659708
123,124,1,1,changed,2020-11-29 09:21:48,2021-02-27 09:21:49,0,0,2020-11-29 09:21:49,pubmatic.com,1614435709,.pubmatic.com,1,1,PUBMDCID,/,0,0,2
124,125,1,1,deleted,2020-11-29 09:21:47,2020-11-30 09:21:47,0,0,2020-11-29 09:26:46,ads.pubmatic.com,1606746107,.ads.pubmatic.com,1,1,KCCH,/,0,0,YES
125,126,1,1,deleted,2020-11-29 09:21:47,2020-11-30 09:21:47,0,0,2020-11-29 09:26:46,pubmatic.com,1606746107,.pubmatic.com,1,1,pi,/,0,0,34576:5
