index,id,crawl_id,visit_id,change,creationTime,expiry,is_http_only,is_session,last_accessed,raw_host,expires,host,is_domain,is_secure,name,path,policy,status,value
0,1,1,1,added,2020-11-29 09:30:41,2020-11-29 09:40:41,0,0,2020-11-29 09:30:41,www.accuweather.com,1606660841,www.accuweather.com,0,0,awx_session_essential,/,0,0,%7B%22partner%22%3Anull%2C%22featuredIndex%22%3A%7B%22lifestyle%22%3A%22allergies%22%2C%22localizedLifestyle%22%3A%22Allergies%22%2C%22category%22%3A%22Low%22%2C%22categoryColor%22%3Anull%2C%22isStatusRed%22%3Afalse%7D%7D
1,2,1,1,added,2020-11-29 09:30:41,2020-11-29 10:30:41,1,0,2020-11-29 09:30:41,accuweather.com,1606663841,.accuweather.com,1,1,AKA_A2,/,0,0,A
2,3,1,1,added,2020-11-29 09:30:41,2020-11-29 11:30:41,1,0,2020-11-29 09:30:41,accuweather.com,1606667441,.accuweather.com,1,0,ak_bmsc,/,0,0,CF3C296BE238AC871EA1EF494E869BF9B81B7836AA1E000091B0C35F20F0075C~plzGXaV0ShDlcLeh17WYSGlDyA//e5dwn1vdtCPB/gNSs+gVWhoTHIw4C7ZQiQuuEdS5mWDdYKSw4yiMloS+WSONhXQ1zeTdsNlkkha0dkH/M2Xhr9T7xbJ3NTG3/rB3F2uWUBEIKEmfODwXt10zAFqZ43a6ypvXzLg3sCT+pnQ1yXsx3hkTPToYGkkT8qNYEbn93F1QxiP/vgSHGPslV1MDLNz9xwXTEwustKB5rdmyA=
3,4,1,1,changed,2020-11-29 09:30:41,2020-11-29 11:30:41,1,0,2020-11-29 09:30:41,accuweather.com,1606667441,.accuweather.com,1,0,ak_bmsc,/,0,0,CF3C296BE238AC871EA1EF494E869BF9B81B7836AA1E000091B0C35F20F0075C~pl5EEgVZmriH+BFgxrH4JknO9aTjeNe+3k5VWa3YMyRDuAZGTModoRLYM+S28MUYQcKwpNJT3OgyZkE+ulSeuGkByKE+amztkqxmZ6mIaeOHhTbyM9Y8BLzQbHMgOIZUcEw8y4sNaDcDIqSu83BaCX+OCJjCo7+BV1RkNKwf7nias3LBGoEs1sZ6+O3ZkZfGedjdOq4zHl0bFkEBiqy2UogfK8nstDsA3tbzbiVQUG+gPnN8y1d1Nbmbdn4/m16c40xmo3dh4QBhpDEs1ekR+9waDmSMWmwEwyo6hblZU3NUIx/hVsJyn7qgaBbnyQRHbI8osB++KHqRUbhg9kRi7AAA==
4,5,1,1,added,2020-11-29 09:30:41,2021-12-29 09:30:41,0,0,2020-11-29 09:30:41,www.accuweather.com,1640788241,www.accuweather.com,0,0,_cb_ls,/,0,0,1
5,6,1,1,added,2020-11-29 09:30:41,2021-12-29 09:30:41,0,0,2020-11-29 09:30:41,www.accuweather.com,1640788241,www.accuweather.com,0,0,_cb,/,0,0,BoBBWuu5OLdDSAwIQ
6,7,1,1,added,2020-11-29 09:30:41,2021-12-29 09:30:41,0,0,2020-11-29 09:30:41,www.accuweather.com,1640788241,www.accuweather.com,0,0,_chartbeat2,/,0,0,.1606660241560.1606660241560.1.CbQPEdCdex-Sc694kCK3AGWDhMo96.1
7,8,1,1,added,2020-11-29 09:30:41,2020-11-29 10:00:41,0,0,2020-11-29 09:30:41,www.accuweather.com,1606662041,www.accuweather.com,0,0,_cb_svref,/,0,0,null
8,9,1,1,added,2020-11-29 09:30:41,2020-11-29 09:45:41,0,0,2020-11-29 09:30:41,doubleclick.net,1606661141,.doubleclick.net,1,1,test_cookie,/,0,0,CheckForPermission
9,10,1,1,added,2020-11-29 09:30:41,2021-11-29 09:30:41,0,0,2020-11-29 09:30:41,www.accuweather.com,1638196241,www.accuweather.com,0,0,_pubcid,/,0,0,c2a7a51f-e253-4203-8586-e724bc537eb2
