index,id,crawl_id,visit_id,old_channel_id,new_channel_id,is_temporary,is_permanent,is_internal,is_sts_upgrade,time_stamp
88,89,1,1,{3a0f70d6-2676-4e7b-92e6-62adb12f8e31},{3092ae2f-0929-4885-be56-406325fe0b3f},1,0,0,0,2020-11-29T14:48:13.700Z
89,90,1,1,{3a0f70d6-2676-4e7b-92e6-62adb12f8e31},{3092ae2f-0929-4885-be56-406325fe0b3f},1,0,0,0,2020-11-29T14:48:13.700Z
90,91,1,1,{3a0f70d6-2676-4e7b-92e6-62adb12f8e31},{3092ae2f-0929-4885-be56-406325fe0b3f},1,0,0,0,2020-11-29T14:48:13.700Z
91,92,1,1,{3a0f70d6-2676-4e7b-92e6-62adb12f8e31},{3092ae2f-0929-4885-be56-406325fe0b3f},1,0,0,0,2020-11-29T14:48:13.700Z
92,93,1,1,{01935f92-fb19-471b-9e5b-62ff1750c36c},{872d6cb6-9109-4460-b41c-e5010965a63f},1,0,0,0,2020-11-29T14:48:13.702Z
93,94,1,1,{01935f92-fb19-471b-9e5b-62ff1750c36c},{872d6cb6-9109-4460-b41c-e5010965a63f},1,0,0,0,2020-11-29T14:48:13.702Z
94,95,1,1,{5ad296b4-bcf1-4e81-942b-84d0fed1bfb8},{c5f4ac99-4abc-4e21-8be8-6068536aa06d},1,0,0,0,2020-11-29T14:48:14.266Z
95,96,1,1,{5ad296b4-bcf1-4e81-942b-84d0fed1bfb8},{c5f4ac99-4abc-4e21-8be8-6068536aa06d},1,0,0,0,2020-11-29T14:48:14.268Z
96,97,1,1,{ee63c95d-47f6-4719-a705-a100301b9426},{12dd9fac-c15e-4bd7-97cd-9d69fabe292b},1,0,0,0,2020-11-29T14:48:14.308Z
97,98,1,1,{ee63c95d-47f6-4719-a705-a100301b9426},{12dd9fac-c15e-4bd7-97cd-9d69fabe292b},1,0,0,0,2020-11-29T14:48:14.308Z
98,99,1,1,{7734784b-110b-4317-b94e-fca5807890e1},{f474643a-919e-40a5-ba74-c200f5fb9c16},1,0,0,0,2020-11-29T14:48:14.308Z
