index,id,crawl_id,visit_id,old_channel_id,new_channel_id,is_temporary,is_permanent,is_internal,is_sts_upgrade,time_stamp
0,1,1,1,{52a5f79f-644a-4891-bd50-0a619ad0019e},{5db6cef0-3ad1-4264-a160-a89be06a03a8},1,0,0,0,2020-11-29T14:21:24.542Z
1,2,1,1,{819399bf-ad46-4c5c-a4a9-e339d7a5ac30},{1b7e0865-ebcc-4b55-a0c0-ef41b73800ea},1,0,0,0,2020-11-29T14:21:24.544Z
2,3,1,1,{cfc031d5-0c53-45aa-a7e7-4efc30b53df4},{427bde90-77b1-4d79-83f5-90dda2591359},1,0,0,0,2020-11-29T14:21:24.544Z
3,4,1,1,{1ac8e98f-b0da-45ce-a55f-7b354c4eb0a5},{f26403d3-1c9e-4545-9b4c-7167e72ffae7},1,0,0,0,2020-11-29T14:21:24.646Z
4,5,1,1,{9abc86ca-6e83-445e-878d-00425a8058f7},{846e49a6-5ea4-4d01-a545-f02eb0021e97},1,0,0,0,2020-11-29T14:21:24.646Z
5,6,1,1,{7c59c02d-591a-4058-b1df-ca725f5ef285},{e0a83a6e-5548-4cbf-9275-3fd0b7ad9abf},1,0,0,0,2020-11-29T14:21:24.706Z
6,7,1,1,{898c7d4f-6a92-4f17-9ff3-ee7e297c62fe},{f7963fc6-19f9-49e0-b631-e3e99c60d642},1,0,0,0,2020-11-29T14:21:27.666Z
7,8,1,1,{8016ff95-fcec-44b0-82fc-a9020d1a64a6},{7d4e8fd8-8b8c-492f-a913-845d880a876c},1,0,0,0,2020-11-29T14:21:28.422Z
8,9,1,1,{752ff500-6cf9-4b48-8a4b-db686aaa7178},{e568fa33-d23c-4b51-8123-6f4235eb9b25},1,0,0,0,2020-11-29T14:21:28.762Z
9,10,1,1,{587c112d-561e-4996-ad2b-37ca512839dc},{2b781a32-e0c8-48c5-9383-57ec3ff180f4},1,0,0,0,2020-11-29T14:21:28.764Z
10,11,1,1,{e5b22455-89e1-411b-893a-443cd7ffe5f2},{a182a64e-90e8-468c-8e07-84d65ef1667f},1,0,0,0,2020-11-29T14:21:28.764Z
11,12,1,1,{3c79e7ce-5e55-4316-81b7-6434177abc38},{ff47041a-aa24-4a53-897b-72575ec1b377},1,0,0,0,2020-11-29T14:21:28.858Z
12,13,1,1,{417ba3cc-3e92-4c1e-9b8f-2d4b7b11224d},{9354fc38-1948-4f2d-9553-966f11b447bf},1,0,0,0,2020-11-29T14:21:28.910Z
13,14,1,1,{4e0861e2-9fee-48bf-864f-dc4a5c1bedd5},{44101c15-b0ae-43a5-8566-7711681df3da},1,0,0,0,2020-11-29T14:21:28.910Z
14,15,1,1,{8eb4b553-60d5-44f0-9950-aec9d4446b0f},{9a7e178b-6b37-4706-8150-a0d11d8f5745},1,0,0,0,2020-11-29T14:21:28.910Z
15,16,1,1,{44101c15-b0ae-43a5-8566-7711681df3da},{6c573f44-da35-40e6-93d1-25e673b9b045},1,0,0,0,2020-11-29T14:21:29.008Z
16,17,1,1,{44101c15-b0ae-43a5-8566-7711681df3da},{6c573f44-da35-40e6-93d1-25e673b9b045},1,0,0,0,2020-11-29T14:21:29.008Z
17,18,1,1,{6c573f44-da35-40e6-93d1-25e673b9b045},{8dce1d50-f7bd-4744-a4a3-871708304fa2},1,0,0,0,2020-11-29T14:21:29.048Z
18,19,1,1,{6c573f44-da35-40e6-93d1-25e673b9b045},{8dce1d50-f7bd-4744-a4a3-871708304fa2},1,0,0,0,2020-11-29T14:21:29.050Z
19,20,1,1,{6c573f44-da35-40e6-93d1-25e673b9b045},{8dce1d50-f7bd-4744-a4a3-871708304fa2},1,0,0,0,2020-11-29T14:21:29.050Z
