index,id,crawl_id,visit_id,change,creationTime,expiry,is_http_only,is_session,last_accessed,raw_host,expires,host,is_domain,is_secure,name,path,policy,status,value
0,1,1,1,added,2020-11-29 09:21:22,2020-11-29 09:31:22,0,0,2020-11-29 09:21:22,www.accuweather.com,1606660282,www.accuweather.com,0,0,awx_session_essential,/,0,0,%7B%22partner%22%3Anull%2C%22featuredIndex%22%3A%7B%22lifestyle%22%3A%22allergies%22%2C%22localizedLifestyle%22%3A%22Allergies%22%2C%22category%22%3A%22Low%22%2C%22categoryColor%22%3Anull%2C%22isStatusRed%22%3Afalse%7D%7D
1,2,1,1,added,2020-11-29 09:21:22,2020-11-29 10:21:22,1,0,2020-11-29 09:21:22,accuweather.com,1606663282,.accuweather.com,1,1,AKA_A2,/,0,0,A
2,3,1,1,added,2020-11-29 09:21:22,2020-11-29 11:21:22,1,0,2020-11-29 09:21:22,accuweather.com,1606666882,.accuweather.com,1,0,ak_bmsc,/,0,0,5425E8AABB6A7432AC1FE6E0B48D5793B81B7836AA1E000062AEC35F390C9112~plWH5du2IF+7ZNdpnk/QlaIu5gSk+w62Rv/DZd0+wG9bjhMdsS+8McANZ4GGo1ZhAdxFz5MQ8VVXEsK+JzEqGQzzzg4SmpxsuYjUKqxWdweL0UY8M7Tq+K4MbYzZwkVhTiN8bQufvOx2qGKgRq+NhZax4PSJgzf8DaLsQ2WnMA67zwH6FtHDkrzx3bIQhF7hAqMHjX6QpoNowJY7uuiybsOqiZg26qwY4QAxSQWMaZOeY=
3,4,1,1,changed,2020-11-29 09:21:22,2020-11-29 11:21:23,1,0,2020-11-29 09:21:23,accuweather.com,1606666883,.accuweather.com,1,0,ak_bmsc,/,0,0,5425E8AABB6A7432AC1FE6E0B48D5793B81B7836AA1E000062AEC35F390C9112~plRDfbEf/Ayn35/5syH8g5hI8ogcAvcYaN4OQF/tYlvM4GAOIRIH31t04Mi8ONatk6PN2FQfs2xcVF3Qe0kWWn3j9mKbx4TAwvawASkoygeB2ExTpXwh1xo5JhZcrOk+47zppEPmLFCFXe/KzxHM2H5S+jT7J75UtdHaARIzI7zvdvw+ctp+AZSntTv9kpKQFolwpBQWkS6E48L7tf/gHlHn4ouZ+6sey/PIYxaV/VsJIYc/pj1KCxNdtKGJMkyvwJ4AP5ZnYC211B4EPkxjfq9MpxS52rVqsEDPxfDxNJAuKFdwm/ZGnW620X5TfDKTpdoGtvSJ0DC++u71ifRQxG1A==
4,5,1,1,added,2020-11-29 09:21:23,2020-11-29 09:36:23,0,0,2020-11-29 09:21:23,doubleclick.net,1606660583,.doubleclick.net,1,1,test_cookie,/,0,0,CheckForPermission
5,6,1,1,added,2020-11-29 09:21:23,2021-11-29 09:21:23,0,0,2020-11-29 09:21:23,www.accuweather.com,1638195683,www.accuweather.com,0,0,_pubcid,/,0,0,db84b291-c6d6-48ca-b579-3e808781c3bd
6,7,1,1,added,2020-11-29 09:21:23,2021-11-29 09:21:23,0,0,2020-11-29 09:21:23,www.accuweather.com,1638195683,www.accuweather.com,0,0,awx_user,/,0,0,{%22rl%22:[%22328802%22]%2C%22tp%22:%22F%22%2C%22lang%22:%22en-us%22%2C%22isDarkMapStyle%22:false%2C%22lifestyle%22:%22allergies%22%2C%22cache%22:{%22lang%22:%22en-us%22%2C%22tp%22:%22F%22%2C%22items%22:{%22328802%22:{%22we%22:1606659682081%2C%22tei%22:[]%2C%22wca%22:false%2C%22ix%22:1606659683810%2C%22loc%22:1606659683000%2C%22cond%22:1606659683812}}}%2C%22cDate%22:%222020-11-29%22}
7,8,1,1,added,2020-11-29 09:21:23,2021-11-29 09:21:23,0,0,2020-11-29 09:21:23,www.accuweather.com,1638195683,www.accuweather.com,0,0,us_privacy,/,0,0,1YNN
8,9,1,1,added,2020-11-29 09:21:23,2022-11-29 09:21:23,0,0,2020-11-29 09:21:23,accuweather.com,1669731683,.accuweather.com,1,0,_ga,/,0,0,GA1.2.1533212787.1606659684
9,10,1,1,added,2020-11-29 09:21:23,2020-11-30 09:21:23,0,0,2020-11-29 09:21:23,accuweather.com,1606746083,.accuweather.com,1,0,_gid,/,0,0,GA1.2.936055650.1606659684
10,11,1,1,added,2020-11-29 09:21:23,2020-11-29 09:22:23,0,0,2020-11-29 09:21:23,accuweather.com,1606659743,.accuweather.com,1,0,_gat_awxTracker,/,0,0,1
11,12,1,1,added,2020-11-29 09:21:24,2022-11-19 09:21:24,0,0,2020-11-29 09:21:24,scorecardresearch.com,1668867684,.scorecardresearch.com,1,0,UID,/,0,0,16B23a21936a84a2404caeg1606659684
12,13,1,1,added,2020-11-29 09:21:24,2022-11-19 09:21:24,0,0,2020-11-29 09:21:24,scorecardresearch.com,1668867684,.scorecardresearch.com,1,0,UIDR,/,0,0,1606659684
13,14,1,1,added,2020-11-29 09:21:24,2021-11-29 15:10:10,0,0,2020-11-29 09:21:24,mid.rkdms.com,1638216610,.mid.rkdms.com,1,1,sessionid,/,0,0,h-b9ec4d1a435f1b4b35007b430dd77fdd_t-1606659684
14,15,1,1,added,2020-11-29 09:21:24,2021-11-29 09:21:24,0,0,2020-11-29 09:21:24,adsrvr.org,1638195684,.adsrvr.org,1,1,TDID,/,0,0,0a55ccf5-6e28-4c6e-86b2-069d3898011e
15,16,1,1,added,2020-11-29 09:21:24,2021-11-29 15:21:24,1,0,2020-11-29 09:21:24,yahoo.com,1638217284,.yahoo.com,1,1,A3,/,0,0,d=AQABBGSuw18CEDiHnOsyX-MXztLzzLGExX0FEgEBAQH_xF_NXwAAAAAA_SMAAA&S=AQAAAsRgUfPwm4_6uBAu4zErodw
16,17,1,1,added,2020-11-29 09:21:24,2021-11-29 15:21:24,0,0,2020-11-29 09:21:24,yahoo.com,1638217284,.yahoo.com,1,0,B,/,0,0,7rhc4m5fs7bj4&b=3&s=cp
17,18,1,1,changed,2020-11-29 09:21:24,2021-11-29 15:21:24,1,0,2020-11-29 09:21:24,yahoo.com,1638217284,.yahoo.com,1,1,A3,/,0,0,d=AQABBGSuw18CEGYLMeqnefC88qjJ6vqFYzcFEgEBAQH_xF_NXwAAAAAA_SMAAA&S=AQAAAvCClBM9k1LaIKvW6v1PkOE
18,19,1,1,changed,2020-11-29 09:21:24,2021-11-29 15:21:24,0,0,2020-11-29 09:21:24,yahoo.com,1638217284,.yahoo.com,1,0,B,/,0,0,3eos5v9fs7bj4&b=3&s=av
19,20,1,1,added,2020-11-29 09:21:24,2021-11-29 09:21:24,0,0,2020-11-29 09:21:24,casalemedia.com,1638195684,.casalemedia.com,1,0,CMID,/,0,0,X8OuZP.iclFrhQZ09xxu.AAA
20,21,1,1,added,2020-11-29 09:21:24,2021-02-27 09:21:24,0,0,2020-11-29 09:21:24,casalemedia.com,1614435684,.casalemedia.com,1,0,CMPS,/,0,0,460
21,22,1,1,added,2020-11-29 09:21:24,2020-11-30 09:21:24,0,0,2020-11-29 09:21:24,casalemedia.com,1606746084,.casalemedia.com,1,0,CMST,/,0,0,X8OuZF-DrmQB
22,23,1,1,added,2020-11-29 09:21:24,2020-11-30 09:21:24,0,0,2020-11-29 09:21:24,casalemedia.com,1606746084,.casalemedia.com,1,0,CMDD,/,0,0,AAL9UgE*
23,24,1,1,changed,2020-11-29 09:21:24,2021-11-29 15:21:24,1,0,2020-11-29 09:21:24,yahoo.com,1638217284,.yahoo.com,1,1,A3,/,0,0,d=AQABBGSuw18CEPVm8RABsdAI4LDtt4p3ZrsFEgEBAQH_xF_NXwAAAAAA_SMAAA&S=AQAAArsybX0NQYmGa70dgWCLcZY
24,25,1,1,changed,2020-11-29 09:21:24,2021-11-29 15:21:24,0,0,2020-11-29 09:21:24,yahoo.com,1638217284,.yahoo.com,1,0,B,/,0,0,bmpjnh9fs7bj4&b=3&s=gf
25,26,1,1,changed,2020-11-29 09:21:24,2021-11-29 15:21:24,1,0,2020-11-29 09:21:24,yahoo.com,1638217284,.yahoo.com,1,1,A3,/,0,0,d=AQABBGSuw18CEMv3Uk2CH7BsH3Q5KQG38poFEgEBAQH_xF_NXwAAAAAA_SMAAA&S=AQAAApPzFjvrWQ84N0Zp297c67U
26,27,1,1,changed,2020-11-29 09:21:24,2021-11-29 15:21:24,0,0,2020-11-29 09:21:24,yahoo.com,1638217284,.yahoo.com,1,0,B,/,0,0,9lsln05fs7bj4&b=3&s=82
27,28,1,1,added,2020-11-29 09:21:24,2021-02-27 09:21:24,1,0,2020-11-29 09:21:24,adnxs.com,1614435684,.adnxs.com,1,1,icu,/,0,0,ChgI9oJHEAoYASABKAEw5NyO_gU4AUABSAEQ5NyO_gUYAA..
28,29,1,1,added,2020-11-29 09:21:24,2021-02-27 09:21:24,1,0,2020-11-29 09:21:24,adnxs.com,1614435684,.adnxs.com,1,1,uuid2,/,0,0,2024444135971989931
29,30,1,1,added,2020-11-29 09:21:24,2021-02-27 09:21:24,0,0,2020-11-29 09:21:24,3lift.com,1614435684,.3lift.com,1,1,tluid,/,0,0,10835765039078428034
30,31,1,1,added,2020-11-29 09:21:24,2021-11-29 09:21:24,0,0,2020-11-29 09:21:24,rubiconproject.com,1638195684,.rubiconproject.com,1,1,khaos,/,0,0,KI37OYMA-1T-C32A
31,32,1,1,added,2020-11-29 09:21:24,9999-12-31 23:59:59,0,1,2020-11-29 09:21:24,rubiconproject.com,0,.rubiconproject.com,1,1,rsid,/,0,0,1|GNuxNVAQ/ObEUWah2Yg1PQvji99hJKStlzdRFcWfPQ1ywYWROwTkQ8aYZtWIiOikWhustFOrDwusFCicA0m6HAXtoRwBg0Y1qy8pecDeQU51/D/GCqBBO62TV6jYKVuVbrzx0VIwUy6fzA==
