index,id,crawl_id,visit_id,old_channel_id,new_channel_id,is_temporary,is_permanent,is_internal,is_sts_upgrade,time_stamp
0,1,1,1,{fa1e01a9-f508-441a-8706-05cb0ba52fd5},{0070d130-583c-4680-a711-2ae243cfb01f},1,0,0,0,2020-11-29T14:30:14.594Z
1,2,1,1,{5d6fa8ba-538c-41e7-a580-002d6431f9e5},{ef0e4dcb-4ae9-44a6-9f40-0f98a364977c},1,0,0,0,2020-11-29T14:30:14.596Z
2,3,1,1,{ec939e7b-81c3-4b66-a552-1a2bd826fb91},{62f4895a-9839-45b9-b00f-c49a686f9d60},1,0,0,0,2020-11-29T14:30:14.596Z
3,4,1,1,{1f904b80-34d7-499d-a2d7-542f713ca2f1},{07b9fb39-0ceb-40e0-ae66-dba6db8924dd},1,0,0,0,2020-11-29T14:30:14.598Z
4,5,1,1,{739225bf-dc49-4ff3-aaff-e9047bf83790},{95870c0d-8bb4-486c-838e-92eea6de6daf},1,0,0,0,2020-11-29T14:30:14.602Z
5,6,1,1,{abcdf4f8-2e45-4fe1-8e49-207207fddff0},{71c898ad-7c2c-419e-bf54-6d68b23b1441},1,0,0,0,2020-11-29T14:30:14.602Z
6,7,1,1,{fe8db880-6439-4bdc-aa5a-f8cfd4bb0b8d},{0c1505d0-08c5-4fa3-af89-8b851b89a30b},1,0,0,0,2020-11-29T14:30:14.604Z
7,8,1,1,{178e192e-909d-4e8f-8e5b-b4c489d69eb6},{54f114ea-5d84-4a13-99ca-c55fba5f04ee},1,0,0,0,2020-11-29T14:30:14.604Z
