index,id,crawl_id,visit_id,change,creationTime,expiry,is_http_only,is_session,last_accessed,raw_host,expires,host,is_domain,is_secure,name,path,policy,status,value
0,1,1,1,added,2020-11-29 09:39:23,2020-11-29 09:49:23,0,0,2020-11-29 09:39:23,www.accuweather.com,1606661363,www.accuweather.com,0,0,awx_session_essential,/,0,0,%7B%22partner%22%3Anull%2C%22featuredIndex%22%3A%7B%22lifestyle%22%3A%22allergies%22%2C%22localizedLifestyle%22%3A%22Allergies%22%2C%22category%22%3A%22Low%22%2C%22categoryColor%22%3Anull%2C%22isStatusRed%22%3Afalse%7D%7D
1,2,1,1,added,2020-11-29 09:39:23,2020-11-29 10:39:23,1,0,2020-11-29 09:39:23,accuweather.com,1606664363,.accuweather.com,1,1,AKA_A2,/,0,0,A
2,3,1,1,added,2020-11-29 09:39:23,2020-11-29 11:39:23,1,0,2020-11-29 09:39:23,accuweather.com,1606667963,.accuweather.com,1,0,ak_bmsc,/,0,0,7441CB54EE754154982473E3B8F6932A17DC6075313C00009BB2C35F7125E813~plVOzXh8ck2gCoJqvIxT3uZPH2UPysyjq+QdAiaJeZHp7yoiXA18RURHhB9tu4KKN0doBL6nGZ2lM9fpuarrIc2GV4BNOGY9S4LmIv7e6atdwNbwhg2c1v4yp/b1g/syanI9HF/EU4o4vUY4kt709RwDjd9sRrVHwinlLRrPWdstJ1ALNFzZItV7Ctu5Zrti5eQIj3f1rIs7aTJdqd1WeNIjrOmA5crErJXqWF8xqx/5Q=
3,4,1,1,changed,2020-11-29 09:39:23,2020-11-29 11:39:24,1,0,2020-11-29 09:39:24,accuweather.com,1606667964,.accuweather.com,1,0,ak_bmsc,/,0,0,7441CB54EE754154982473E3B8F6932A17DC6075313C00009BB2C35F7125E813~plloDfl6L3L9qUDSXLuFOCBxbHxODVyTZ80wnr6DUmr2Tn8BcM+/zYRkfnpweCGr5a94fZP5VTOqWW9YpvkUwiRIFeOABfS+ELt367VEYVkt92tKK/o2BzZaE+qmL/mOn5Zt+YyiEq+mHWT9aKVlzQTwbIABNNBmBSVTesW9HWy1WtukYY7MEL11VBjzRBVikFi+vWbg5wHgy6qxP9NQn0NGEvfT8qjqTLbJk2KxRnJgihXMYP1uTNSfnQwLX3AB/hsGCUxsbsSleeCe4Cvew0ZE+Ruc+0d7tryzHuDnuopOr8SBevYiGB+9hi5za3O1WdwXe7pVl3H2HkPyUkfMC0iQ==
4,5,1,1,added,2020-11-29 09:39:24,2020-11-29 09:54:23,0,0,2020-11-29 09:39:24,doubleclick.net,1606661663,.doubleclick.net,1,1,test_cookie,/,0,0,CheckForPermission
5,6,1,1,added,2020-11-29 09:39:24,2021-12-29 09:39:24,0,0,2020-11-29 09:39:24,www.accuweather.com,1640788764,www.accuweather.com,0,0,_cb_ls,/,0,0,1
6,7,1,1,added,2020-11-29 09:39:24,2021-12-29 09:39:24,0,0,2020-11-29 09:39:24,www.accuweather.com,1640788764,www.accuweather.com,0,0,_cb,/,0,0,CGWL17HJY8ABuxt2z
7,8,1,1,added,2020-11-29 09:39:24,2021-12-29 09:39:24,0,0,2020-11-29 09:39:24,www.accuweather.com,1640788764,www.accuweather.com,0,0,_chartbeat2,/,0,0,.1606660764960.1606660764960.1.B0lA7XBmJqgABjVSiKBciswXChr-Rz.1
8,9,1,1,added,2020-11-29 09:39:24,2020-11-29 10:09:24,0,0,2020-11-29 09:39:24,www.accuweather.com,1606662564,www.accuweather.com,0,0,_cb_svref,/,0,0,null
9,10,1,1,added,2020-11-29 09:39:25,2021-11-29 09:39:25,0,0,2020-11-29 09:39:25,www.accuweather.com,1638196765,www.accuweather.com,0,0,awx_user,/,0,0,{%22rl%22:[%22328802%22]%2C%22tp%22:%22F%22%2C%22lang%22:%22en-us%22%2C%22isDarkMapStyle%22:false%2C%22lifestyle%22:%22allergies%22%2C%22cache%22:{%22lang%22:%22en-us%22%2C%22tp%22:%22F%22%2C%22items%22:{%22328802%22:{%22we%22:1606660763149%2C%22tei%22:[]%2C%22wca%22:false%2C%22ix%22:1606660765184%2C%22loc%22:1606660765000%2C%22cond%22:1606660765184}}}%2C%22cDate%22:%222020-11-29%22}
