index,id,crawl_id,visit_id,old_channel_id,new_channel_id,is_temporary,is_permanent,is_internal,is_sts_upgrade,time_stamp
0,1,1,1,{55bdcc80-9cb2-4c73-942b-2eef01f106c7},{839a36da-27c4-48f5-8dbf-c60b2594e2b7},1,0,0,0,2020-11-29T14:39:25.666Z
1,2,1,1,{9f794fa1-2e1c-4491-abd9-c7e26db4e4e6},{f446a562-de35-4531-a8a1-68b9d754c52f},1,0,0,0,2020-11-29T14:39:25.666Z
2,3,1,1,{147166fe-08bd-4c63-94ed-473d6550db97},{599e0477-bd94-4312-8831-99d7e912370f},1,0,0,0,2020-11-29T14:39:25.666Z
3,4,1,1,{6243a23e-898f-4555-8917-1101fa4d7c76},{b044b783-d80a-446f-813e-079591243310},1,0,0,0,2020-11-29T14:39:25.666Z
4,5,1,1,{ee6418fb-c737-410b-8dcc-e1a453700942},{dcd5a141-a5f8-4910-9baf-82895138e9c7},1,0,0,0,2020-11-29T14:39:25.666Z
5,6,1,1,{1cd18520-c839-4b39-b7aa-08046db735cd},{2bad849d-836f-4f4b-8192-4dfbea358f70},1,0,0,0,2020-11-29T14:39:25.668Z
6,7,1,1,{c09db5ea-b8e3-4d40-b719-595036319402},{4c224049-d5db-4964-827a-c5caed438f3b},1,0,0,0,2020-11-29T14:39:25.672Z
7,8,1,1,{a6a0cd41-d138-4dfe-8c69-f96434cfd822},{64c27da9-2d48-4294-85bb-800a96e1047d},1,0,0,0,2020-11-29T14:39:25.674Z
8,9,1,1,{c37db16d-7d16-45a8-81de-efe758787bd5},{6d5a5904-f726-4c6c-861c-ce74dad3bee3},1,0,0,0,2020-11-29T14:39:25.798Z
9,10,1,1,{27b9cc7e-bf79-4137-b98e-d46c73dbc566},{b71e791e-eaf4-49a4-b56c-ff9df8be59e0},1,0,0,0,2020-11-29T14:39:25.800Z
10,11,1,1,{86dc97de-6cc6-4407-a2bd-063cee632423},{74acc9a7-d087-4fc5-9f47-dce884e20c65},1,0,0,0,2020-11-29T14:39:25.800Z
11,12,1,1,{e7909eff-5f4c-49f7-9de2-a4df23cd6d13},{ca8b4ab1-00fc-44b7-ba62-3483f6a340c4},1,0,0,0,2020-11-29T14:39:25.802Z
12,13,1,1,{60a0f7c7-4217-4fba-90e1-195ba0d3c303},{90639efd-22d6-46e8-91c9-41957610fc4f},1,0,0,0,2020-11-29T14:39:25.978Z
13,14,1,1,{e3f83f82-504a-44ba-b98f-7e79fd39f752},{0ef350f7-2c45-41ee-b08a-25d8c69aaa31},1,0,0,0,2020-11-29T14:39:25.978Z
14,15,1,1,{9bb08e6d-047b-4c64-b1f0-b0211c70a5b4},{ca2b4f5d-16e4-4b8a-a644-d4ff4cef13fd},0,1,0,0,2020-11-29T14:39:27.218Z
15,16,1,1,{54cdfa8a-c71e-422f-b721-f7412a5e8f3e},{b242e3f6-6c05-4656-84f4-432213a71a1f},1,0,0,0,2020-11-29T14:39:27.218Z
